farmer_id,district,state,crop,N_applied_kg_per_ha
1,Gadag,Karnataka,Wheat,100
2,Gadag,Karnataka,Wheat,60
3,Gadag,Karnataka,Wheat,110
4,Gadag,Karnataka,Wheat,80
5,Gadag,Karnataka,Wheat,100
6,Gadag,Karnataka,Wheat,120
7,Gadag,Karnataka,Wheat,70
8,Gadag,Karnataka,Wheat,110
9,Gadag,Karnataka,Wheat,100
10,Gadag,Karnataka,Wheat,110
11,Gadag,Karnataka,Wheat,100
12,Gadag,Karnataka,Wheat,120
13,Gadag,Karnataka,Wheat,120
14,Gadag,Karnataka,Wheat,120
15,Gadag,Karnataka,Wheat,120
16,Gadag,Karnataka,Wheat,140
17,Gadag,Karnataka,Wheat,80
18,Gadag,Karnataka,Wheat,100
19,Gadag,Karnataka,Wheat,60
20,Gadag,Karnataka,Wheat,150
21,Gadag,Karnataka,Wheat,110
22,Gadag,Karnataka,Wheat,80
23,Gadag,Karnataka,Wheat,100
24,Gadag,Karnataka,Wheat,160
25,Gadag,Karnataka,Wheat,150
26,Gadag,Karnataka,Wheat,110
27,Gadag,Karnataka,Wheat,110
28,Gadag,Karnataka,Wheat,110
29,Gadag,Karnataka,Wheat,70
30,Gadag,Karnataka,Wheat,150
31,Gadag,Karnataka,Wheat,110
32,Gadag,Karnataka,Wheat,120
33,Gadag,Karnataka,Wheat,80
34,Gadag,Karnataka,Wheat,110
35,Gadag,Karnataka,Wheat,100
36,Gadag,Karnataka,Wheat,100
37,Gadag,Karnataka,Wheat,100
38,Gadag,Karnataka,Wheat,100
39,Gadag,Karnataka,Wheat,80
40,Gadag,Karnataka,Wheat,60
41,Gadag,Karnataka,Wheat,140
42,Gadag,Karnataka,Wheat,80
43,Gadag,Karnataka,Wheat,140
44,Gadag,Karnataka,Wheat,120
45,Gadag,Karnataka,Wheat,140
46,Gadag,Karnataka,Wheat,150
47,Gadag,Karnataka,Wheat,80
48,Gadag,Karnataka,Wheat,150
49,Gadag,Karnataka,Wheat,80
50,Gadag,Karnataka,Wheat,100
51,Gadag,Karnataka,Wheat,110
52,Gadag,Karnataka,Wheat,140
53,Gadag,Karnataka,Wheat,120
54,Gadag,Karnataka,Wheat,100
55,Gadag,Karnataka,Wheat,120
56,Gadag,Karnataka,Wheat,160
57,Gadag,Karnataka,Wheat,80
58,Gadag,Karnataka,Wheat,110
59,Gadag,Karnataka,Wheat,120
60,Gadag,Karnataka,Wheat,80
61,Gadag,Karnataka,Wheat,100
62,Gadag,Karnataka,Wheat,110
63,Gadag,Karnataka,Wheat,80
64,Gadag,Karnataka,Wheat,120
65,Gadag,Karnataka,Wheat,100
66,Gadag,Karnataka,Wheat,80
67,Gadag,Karnataka,Wheat,110
68,Gadag,Karnataka,Wheat,110
69,Gadag,Karnataka,Wheat,110
70,Gadag,Karnataka,Wheat,110
71,Gadag,Karnataka,Wheat,150
72,Gadag,Karnataka,Wheat,60
73,Gadag,Karnataka,Wheat,100
74,Gadag,Karnataka,Wheat,120
75,Gadag,Karnataka,Wheat,100
76,Gadag,Karnataka,Wheat,160
77,Gadag,Karnataka,Wheat,80
78,Gadag,Karnataka,Wheat,100
79,Gadag,Karnataka,Wheat,110
80,Gadag,Karnataka,Wheat,120
81,Gadag,Karnataka,Wheat,60
82,Gadag,Karnataka,Wheat,110
83,Gadag,Karnataka,Wheat,150
84,Gadag,Karnataka,Wheat,120
85,Gadag,Karnataka,Wheat,100
86,Gadag,Karnataka,Wheat,160
87,Gadag,Karnataka,Wheat,110
88,Gadag,Karnataka,Wheat,120
89,Gadag,Karnataka,Wheat,100
90,Gadag,Karnataka,Wheat,110
91,Gadag,Karnataka,Wheat,70
92,Gadag,Karnataka,Wheat,160
93,Gadag,Karnataka,Wheat,120
94,Gadag,Karnataka,Wheat,100
95,Gadag,Karnataka,Wheat,100
96,Gadag,Karnataka,Wheat,110
97,Gadag,Karnataka,Wheat,120
98,Gadag,Karnataka,Wheat,60
99,Gadag,Karnataka,Wheat,80
100,Gadag,Karnataka,Wheat,60
101,Gadag,Karnataka,Wheat,160
102,Gadag,Karnataka,Wheat,110
103,Gadag,Karnataka,Wheat,120
104,Gadag,Karnataka,Wheat,120
105,Gadag,Karnataka,Wheat,60
106,Gadag,Karnataka,Wheat,120
107,Gadag,Karnataka,Wheat,140
108,Gadag,Karnataka,Wheat,100
109,Gadag,Karnataka,Wheat,80
110,Gadag,Karnataka,Wheat,110
111,Gadag,Karnataka,Wheat,110
112,Gadag,Karnataka,Wheat,140
113,Gadag,Karnataka,Wheat,110
114,Gadag,Karnataka,Wheat,140
115,Gadag,Karnataka,Wheat,160
116,Gadag,Karnataka,Wheat,120
117,Gadag,Karnataka,Wheat,120
118,Gadag,Karnataka,Wheat,150
119,Gadag,Karnataka,Wheat,160
120,Gadag,Karnataka,Wheat,150
121,Gadag,Karnataka,Wheat,110
122,Gadag,Karnataka,Wheat,70
123,Gadag,Karnataka,Wheat,140
124,Gadag,Karnataka,Wheat,70
125,Gadag,Karnataka,Wheat,110
126,Gadag,Karnataka,Wheat,100
127,Gadag,Karnataka,Wheat,100
128,Gadag,Karnataka,Wheat,70
129,Gadag,Karnataka,Wheat,120
130,Gadag,Karnataka,Wheat,100
