farmer_id,district,state,crop,N_applied_kg_per_ha,N2O_N_direct,N2O_N_indirect,Total_N2O_N,N2O_gas_kg_per_ha,CO2e_kg_per_ha
1,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
2,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
3,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
4,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
5,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
6,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
7,Gadag,Karnataka,Wheat,70,0.7000000000000001,0.28,0.9800000000000001,1.5386000000000002,458.50280000000004
8,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
9,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
10,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
11,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
12,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
13,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
14,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
15,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
16,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
17,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
18,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
19,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
20,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
21,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
22,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
23,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
24,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
25,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
26,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
27,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
28,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
29,Gadag,Karnataka,Wheat,70,0.7000000000000001,0.28,0.9800000000000001,1.5386000000000002,458.50280000000004
30,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
31,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
32,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
33,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
